DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
1733;1354,2;;0,1842;0,2316;;
;;15,7;;;0,0015;10257
1748,7;1369,9;;0,1856;0,2331;;
;;15,7;;;0,0016;9846
1764,4;1385,6;;0,1871;0,2347;;
;;15,7;;;0,0017;9314
1780,1;1401,3;;0,1888;0,2364;;
;;15,7;;;0,0018;8822
1795,8;1417;;0,1905;0,2382;;
;;15,7;;;0,0019;8423
1811,5;1432,7;;0,1923;0,24;;
;;15,7;;;0,0019;8166
1827,2;1448,4;;0,1942;0,2419;;
;;15,7;;;0,0019;8067
1842,9;1464,1;;0,1961;0,2439;;
;;15,7;;;0,0019;8121
1858,6;1479,8;;0,1979;0,2458;;
;;15,7;;;0,0019;8287
1874,3;1495,5;;0,1998;0,2477;;
;;15,7;;;0,0018;8525
1890;1511,2;;0,2016;0,2495;;
;;15,7;;;0,0018;8748
1905,7;1526,9;;0,2033;0,2513;;
;;15,7;;;0,0018;8862
1921,4;1542,6;;0,205;0,2531;;
;;15,7;;;0,0018;8901
1937;1558,3;;0,2067;0,2549;;
;;15,7;;;0,0018;8929
1952,7;1574;;0,2084;0,2566;;
;;15,7;;;0,0017;8980
1968,4;1589,7;;0,2101;0,2584;;
;;15,7;;;0,0017;9057
1984,1;1605,4;;0,2118;0,2601;;
;;15,7;;;0,0017;9115
1999,8;1621,1;;0,2135;0,2618;;
;;15,7;;;0,0017;9220
2015,5;1636,8;;0,2151;0,2635;;
;;15,7;;;0,0017;9360
2031,2;1652,5;;0,2168;0,2652;;
;;15,7;;;0,0016;9512
2046,9;1668,2;;0,2184;0,2669;;
;;15,7;;;0,0016;9650
2062,6;1683,9;;0,2199;0,2685;;
;;15,7;;;0,0016;9702
2078,2;1699,6;;0,2215;0,2701;;
;;15,7;;;0,0016;9675
2093,9;1715,3;;0,2231;0,2717;;
;;15,7;;;0,0016;9625
2109,6;1731;;0,2247;0,2734;;
;;15,7;;;0,0016;9600
2125,3;1746,7;;0,2263;0,275;;
;;15,7;;;0,0016;9595
2140,9;1762,4;;0,2278;0,2766;;
;;15,7;;;0,0016;9580
2156,6;1778,1;;0,2294;0,2783;;
;;15,7;;;0,0016;9518
2172,3;1793,8;;0,231;0,2799;;
;;15,7;;;0,0017;9420
2187,9;1809,5;;0,2326;0,2816;;
