DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
5933,2;5687,7;;0,5941;0,6406;;
;;15,4;;;0,0015;10394
5948,7;5703,4;;0,5956;0,6421;;
;;15,4;;;0,0015;10078
5964,1;5719,1;;0,5972;0,6437;;
;;15,4;;;0,0016;9845
5979,5;5734,8;;0,5988;0,6452;;
;;15,4;;;0,0016;9699
5995;5750,5;;0,6004;0,6468;;
;;15,4;;;0,0016;9594
6010,4;5766,2;;0,602;0,6484;;
;;15,4;;;0,0016;9474
6025,9;5781,9;;0,6037;0,6501;;
;;15,5;;;0,0017;9345
6041,3;5797,6;;0,6054;0,6517;;
;;15,5;;;0,0017;9277
6056,8;5813,3;;0,6071;0,6534;;
;;15,5;;;0,0017;9346
6072,2;5829;;0,6087;0,655;;
;;15,5;;;0,0016;9564
6087,7;5844,7;;0,6104;0,6566;;
;;15,5;;;0,0016;9947
6103,2;5860,4;;0,612;0,6582;;
;;15,5;;;0,0015;10435
6118,6;5876,1;;0,6135;0,6597;;
;;15,5;;;0,0014;10975
6134,1;5891,8;;0,6149;0,6611;;
;;15,5;;;0,0014;11459
6149,6;5907,5;;0,6163;0,6624;;
;;15,5;;;0,0013;11713
6165,1;5923,2;;0,6176;0,6638;;
;;15,5;;;0,0013;11656
6180,6;5938,9;;0,619;0,6651;;
;;15,5;;;0,0014;11358
6196,1;5954,6;;0,6203;0,6665;;
;;15,5;;;0,0014;11044
6211,6;5970,3;;0,6218;0,6679;;
;;15,5;;;0,0014;10869
6227,1;5986;;0,6232;0,6693;;
;;15,5;;;0,0014;10840
6242,6;6001,7;;0,6247;0,6707;;
;;15,5;;;0,0014;10816
6258,2;6017,4;;0,6261;0,6722;;
;;15,5;;;0,0015;10630
6273,7;6033,1;;0,6276;0,6736;;
;;15,5;;;0,0015;10304
6289,2;6048,8;;0,6291;0,6751;;
;;15,5;;;0,0016;9949
6304,8;6064,5;;0,6307;0,6767;;
;;15,5;;;0,0016;9632
6320,3;6080,2;;0,6323;0,6783;;
;;15,5;;;0,0017;9400
6335,9;6095,9;;0,634;0,68;;
;;15,6;;;0,0017;9310
6351,4;6111,6;;0,6357;0,6816;;
;;15,6;;;0,0017;9376
6367;6127,3;;0,6374;0,6833;;
;;15,6;;;0,0016;9556
6382,5;6143;;0,639;0,6849;;
;;15,6;;;0,0016;9801
6398,1;6158,7;;0,6406;0,6865;;
;;15,6;;;0,0016;10004
6413,6;6174,4;;0,6422;0,6881;;
;;15,6;;;0,0015;10118
6429,2;6190,1;;0,6437;0,6896;;
;;15,6;;;0,0015;10107
6444,8;6205,8;;0,6453;0,6911;;
;;15,6;;;0,0016;10037
6460,3;6221,5;;0,6468;0,6927;;
;;15,6;;;0,0016;9929
6475,9;6237,2;;0,6484;0,6943;;
;;15,6;;;0,0016;9811
6491,5;6252,9;;0,65;0,6958;;
;;15,6;;;0,0016;9694
6507,1;6268,6;;0,6516;0,6974;;
;;15,6;;;0,0016;9594
6522,6;6284,3;;0,6533;0,6991;;
;;15,6;;;0,0016;9507
6538,2;6300;;0,6549;0,7007;;
;;15,6;;;0,0017;9372
6553,8;6315,7;;0,6566;0,7024;;
;;15,6;;;0,0017;9192
6569,4;6331,4;;0,6583;0,7041;;
;;15,6;;;0,0017;8997
6585;6347,1;;0,6601;0,7058;;
;;15,6;;;0,0018;8834
6600,5;6362,8;;0,6618;0,7076;;
;;15,6;;;0,0018;8754
6616,1;6378,5;;0,6636;0,7093;;
;;15,6;;;0,0018;8780
6631,7;6394,2;;0,6654;0,7111;;
;;15,6;;;0,0018;8894
6647,3;6409,9;;0,6672;0,7129;;
;;15,6;;;0,0017;9032
6662,9;6425,6;;0,6689;0,7146;;
;;15,6;;;0,0017;9164
6678,5;6441,3;;0,6706;0,7163;;
;;15,6;;;0,0017;9278
6694,1;6457;;0,6723;0,718;;
;;15,6;;;0,0017;9304
6709,7;6472,7;;0,674;0,7197;;
;;15,6;;;0,0017;9297
6725,3;6488,4;;0,6757;0,7213;;
;;15,6;;;0,0017;9316
6740,9;6504,1;;0,6774;0,723;;
;;15,6;;;0,0017;9356
6756,5;6519,9;;0,6791;0,7247;;
;;15,6;;;0,0017;9361
6772,1;6535,5;;0,6807;0,7263;;
;;15,6;;;0,0017;9297
6787,7;6551,2;;0,6824;0,728;;
;;15,6;;;0,0017;9174
6803,4;6567;;0,6841;0,7297;;
;;15,6;;;0,0017;9076
6819;6582,6;;0,6859;0,7315;;
;;15,6;;;0,0017;9056
6834,6;6598,4;;0,6876;0,7332;;
;;15,6;;;0,0017;9115
6850,2;6614;;0,6893;0,7349;;
;;15,6;;;0,0017;9186
6865,9;6629,8;;0,691;0,7366;;
;;15,6;;;0,0017;9211
6881,5;6645,5;;0,6927;0,7383;;
;;15,6;;;0,0017;9172
6897,1;6661,2;;0,6944;0,74;;
;;15,6;;;0,0017;9149
6912,8;6676,9;;0,6962;0,7417;;
;;15,6;;;0,0017;9206
6928,4;6692,6;;0,6979;0,7434;;
;;15,6;;;0,0017;9339
6944;6708,3;;0,6995;0,7451;;
;;15,6;;;0,0016;9503
6959,7;6724;;0,7012;0,7467;;
;;15,6;;;0,0016;9650
6975,3;6739,7;;0,7028;0,7483;;
;;15,6;;;0,0016;9742
6991;6755,4;;0,7044;0,75;;
;;15,6;;;0,0016;9741
7006,6;6771,1;;0,706;0,7516;;
;;15,7;;;0,0016;9679
7022,3;6786,8;;0,7077;0,7532;;
;;15,7;;;0,0016;9567
7037,9;6802,5;;0,7093;0,7548;;
;;15,7;;;0,0017;9405
7053,6;6818,2;;0,711;0,7565;;
;;15,7;;;0,0017;9273
7069,3;6833,9;;0,7127;0,7582;;
;;15,7;;;0,0017;9136
7084,9;6849,6;;0,7144;0,7599;;
;;15,7;;;0,0017;9059
7100,6;6865,3;;0,7161;0,7616;;
;;15,7;;;0,0017;9107
7116,3;6881;;0,7178;0,7633;;
;;15,7;;;0,0017;9277
7131,9;6896,7;;0,7195;0,765;;
;;15,7;;;0,0016;9563
7147,6;6912,4;;0,7211;0,7667;;
;;15,7;;;0,0016;9913
7163,3;6928,1;;0,7227;0,7682;;
;;15,7;;;0,0015;10246
7178,9;6943,8;;0,7243;0,7698;;
;;15,7;;;0,0015;10510
7194,6;6959,5;;0,7257;0,7713;;
;;15,7;;;0,0015;10716
7210,3;6975,2;;0,7272;0,7727;;
;;15,7;;;0,0014;10903
7226;6990,9;;0,7286;0,7742;;
;;15,7;;;0,0014;11076
7241,6;7006,6;;0,73;0,7756;;
;;15,7;;;0,0014;11150
7257,3;7022,3;;0,7315;0,777;;
;;15,7;;;0,0014;11096
7273;7038;;0,7329;0,7784;;
;;15,7;;;0,0014;10864
7288,6;7053,7;;0,7343;0,7798;;
;;15,7;;;0,0015;10554
7304,3;7069,4;;0,7358;0,7813;;
;;15,7;;;0,0015;10231
7320;7085,1;;0,7373;0,7829;;
;;15,7;;;0,0016;9958
7335,7;7100,8;;0,7389;0,7844;;
;;15,7;;;0,0016;9754
7351,3;7116,5;;0,7405;0,786;;
;;15,7;;;0,0016;9612
7367;7132,2;;0,7421;0,7877;;
;;15,7;;;0,0016;9529
7382,7;7147,9;;0,7438;0,7893;;
;;15,7;;;0,0017;9477
7398,4;7163,6;;0,7454;0,791;;
;;15,7;;;0,0017;9446
7414,1;7179,3;;0,7471;0,7926;;
;;15,7;;;0,0017;9452
7429,7;7195;;0,7487;0,7943;;
;;15,7;;;0,0016;9512
7445,4;7210,7;;0,7504;0,7959;;
;;15,7;;;0,0016;9581
7461,1;7226,4;;0,752;0,7976;;
;;15,7;;;0,0016;9628
7476,8;7242,1;;0,7536;0,7992;;
;;15,7;;;0,0016;9662
7492,5;7257,8;;0,7553;0,8008;;
;;15,7;;;0,0016;9754
7508,2;7273,5;;0,7569;0,8024;;
;;15,7;;;0,0016;9933
7523,9;7289,2;;0,7584;0,804;;
;;15,7;;;0,0015;10159
7539,5;7304,9;;0,76;0,8056;;
;;15,7;;;0,0015;10446
7555,2;7320,6;;0,7615;0,8071;;
;;15,7;;;0,0015;10718
7570,9;7336,3;;0,7629;0,8085;;
;;15,7;;;0,0014;10954
7586,6;7352;;0,7643;0,81;;
;;15,7;;;0,0014;11192
7602,3;7367,7;;0,7657;0,8114;;
;;15,7;;;0,0014;11413
7618;7383,4;;0,7671;0,8127;;
;;15,7;;;0,0013;11630
7633,7;7399,1;;0,7684;0,8141;;
;;15,7;;;0,0013;11818
7649,4;7414,8;;0,7698;0,8154;;
;;15,7;;;0,0013;12005
7665,1;7430,5;;0,7711;0,8167;;
;;15,7;;;0,0013;12108
7680,8;7446,2;;0,7724;0,818;;
;;15,7;;;0,0013;12093
7696,5;7461,9;;0,7736;0,8193;;
;;15,7;;;0,0013;11927
7712,2;7477,6;;0,7749;0,8206;;
;;15,7;;;0,0014;11605
7727,9;7493,3;;0,7763;0,822;;
;;15,7;;;0,0014;11170
7743,6;7509;;0,7777;0,8234;;
;;15,7;;;0,0015;10710
7759,2;7524,7;;0,7791;0,8248;;
;;15,7;;;0,0015;10316
7774,9;7540,4;;0,7807;0,8264;;
;;15,7;;;0,0016;10062
7790,6;7556,1;;0,7822;0,8279;;
;;15,7;;;0,0016;9961
7806,3;7571,8;;0,7838;0,8295;;
;;15,7;;;0,0016;9961
7822;7587,5;;0,7853;0,8311;;
;;15,7;;;0,0016;10073
7837,7;7603,2;;0,7869;0,8326;;
;;15,7;;;0,0015;10247
7853,4;7618,9;;0,7884;0,8342;;
;;15,7;;;0,0015;10480
7869,1;7634,6;;0,7899;0,8357;;
;;15,7;;;0,0015;10801
7884,8;7650,3;;0,7913;0,8371;;
;;15,7;;;0,0014;11187
7900,5;7666;;0,7927;0,8385;;
;;15,7;;;0,0014;11509
7916,2;7681,7;;0,7941;0,8399;;
;;15,7;;;0,0013;11711
7931,9;7697,4;;0,7954;0,8412;;
;;15,7;;;0,0013;11797
7947,6;7713,1;;0,7967;0,8426;;
;;15,7;;;0,0012;12618
7963,3;7728,8;;0,798;0,8438;;
;;15,7;;;0,0013;11990
7979;7744,5;;0,7993;0,8451;;
;;15,7;;;0,0012;13279
7994,7;7760,2;;0,8004;0,8463;;
;;15,7;;;0,001;15079
8010,4;7775,9;;0,8015;0,8473;;
;;15,7;;;0,0011;14715
8026,1;7791,6;;0,8025;0,8484;;
;;15,7;;;0,001;15089
8041,8;7807,3;;0,8036;0,8494;;
;;15,7;;;0,0011;14258
8057,5;7823;;0,8047;0,8505;;
;;15,7;;;0,0011;14926
8073,2;7838,7;;0,8057;0,8516;;
;;15,7;;;0,0011;14579
8088,9;7854,5;;0,8068;0,8527;;
;;15,7;;;0,001;15143
8104,6;7870,2;;0,8078;0,8537;;
;;15,7;;;0,001;15725
8120,3;7885,9;;0,8088;0,8547;;
;;15,7;;;0,0012;13551
8136;7901,5;;0,8099;0,8559;;
;;15,7;;;0,0012;12844
8151,7;7917,2;;0,8111;0,8571;;
;;15,7;;;0,0012;13163
8167,4;7932,9;;0,8123;0,8583;;
;;15,7;;;0,0011;14534
8183,1;7948,6;;0,8134;0,8594;;
;;15,7;;;0,001;15369
8198,8;7964,4;;0,8144;0,8604;;
;;15,7;;;0,001;15022
8214,5;7980;;0,8154;0,8614;;
;;15,7;;;0,0011;14523
8230,2;7995,8;;0,8165;0,8625;;
