DEPTH,ACOUSTIC_INTERVAL_VEL,DELTA_DEPTH
128.67132,2107.0824000000002,4.78536
133.45668,1933.9560000000001,4.78536
138.24204,1833.0672000000002,4.78536
143.0274,1778.508,4.78536
147.81276000000003,1723.0344,4.78536
152.59812,1671.5232,4.78536
157.38348000000002,1630.0704,4.78536
162.16884,1601.7240000000002,4.78536
166.95420000000001,1592.2752,4.78536
171.73956,1601.4192,4.78536
176.52492,1627.0224,4.78536
181.31028,1669.3896,4.78536
186.09564,1721.8152,4.78536
190.881,1779.7272,4.78536
195.66636000000003,1840.9920000000002,4.78536
200.45172,1901.0376,4.78536
205.23708000000002,1962.3024,4.78536
210.02244,2027.5296,4.78536
214.80780000000001,2087.88,4.78536
219.59316,2136.648,4.78536
224.37852,2174.748,4.78536
229.16388,2204.0088,4.78536
233.94924,2227.4784,4.78536
238.7346,2246.9856,4.78536
243.51996000000003,2264.0544,4.78536
248.30532,2284.476,4.78536
253.09068000000002,2300.3256,4.78536
257.87604,2310.6888,4.78536
262.6614,2312.8224,4.78536
267.44676000000004,2296.9728,4.78536
272.23212,2258.2632000000003,4.78536
277.01748000000003,2199.132,4.78536
281.80284,2128.1136,4.78536
286.58820000000003,2060.4480000000003,4.78536
291.37356000000005,2010.1560000000002,4.78536
296.15892,1990.0392000000002,4.78536
300.94428000000005,2004.6696000000002,4.78536
305.72964,2056.7904000000003,4.78536
310.51500000000004,2130.552,4.78536
315.30035999999996,2211.6288,4.78536
320.08572000000004,2288.1336,4.78536
324.87108,2346.6552,4.78536
329.6564400000001,2385.6696,4.78536
334.4418,2392.0704,4.78536
339.22715999999997,2360.9808000000003,4.78536
344.01252000000005,2310.384,4.78536
348.79787999999996,2264.9688,4.78536
353.58324000000005,2233.8792000000003,4.78536
358.3686,2226.8688,4.78536
363.15396,2233.2696,4.78536
367.93932000000007,2255.52,4.78536
372.72468,2306.7264,4.78536
377.51004000000006,2393.2896,4.78536
382.29540000000003,2505.7608,4.78536
387.08075999999994,2633.472,4.78536
391.86612,2741.0664,4.78536
396.65148,2792.8824,4.78536
401.4368400000001,2775.8136,4.78536
406.22220000000004,2713.0248,4.78536
411.00755999999996,2638.3488,4.78536
415.79292000000004,2581.0464,4.78536
420.57828,2562.4536000000003,4.78536
425.3636400000001,2571.9024,4.78536
430.149,2592.324,4.78536
434.93435999999997,2623.7184,4.78536
439.71972000000005,2651.4552000000003,4.78536
444.50508,2670.3528,4.78536
449.2904400000001,2688.9456,4.78536
454.0758,2706.6240000000003,4.78536
458.86116,2741.676,4.78536
463.64652000000007,2794.7112,4.78536
468.43188,2845.9176,4.78536
473.21724000000006,2863.596,4.78536
478.00260000000003,2834.0304,4.78536
482.78795999999994,2761.4880000000003,4.78536
487.5733200000001,2665.1712,4.78536
492.35868,2577.6936,4.78536
497.1440400000001,2537.46,4.78536
501.91416000000004,2567.3304000000003,4.78536
506.68428,2661.2088000000003,4.78536
511.4696400000001,2800.5024000000003,4.78536
516.255,2968.752,4.78536
521.04036,3107.7408,4.78536
525.82572,3170.5296000000003,4.78536
530.61108,3126.3336,4.78536
535.3964400000001,3001.0608,4.78536
540.1818000000001,2838.9072,4.78536
544.9671599999999,2688.9456,4.78536
549.75252,2567.3304000000003,4.78536
554.53788,2488.9968000000003,4.78536
559.32324,2458.8216,4.78536
564.1086,2475.2808,4.78536
568.89396,2525.8776000000003,4.78536
573.6793200000001,2598.42,4.78536
578.46468,2666.3904,4.78536
583.2500400000001,2701.1376,4.78536
588.02016,2713.0248,4.78536
592.79028,2721.5592,4.78536
597.5756400000001,2737.1040000000003,4.78536
602.361,2760.5736,4.78536
607.14636,2778.252,4.78536
611.93172,2810.2560000000003,4.78536
616.71708,2852.9280000000003,4.78536
621.5024400000001,2899.2576000000004,4.78536
626.2878000000001,2941.32,4.78536
631.05792,2957.1696,4.78536
635.8280400000001,2948.94,4.78536
640.6134000000001,2933.7000000000003,4.78536
645.3987599999999,2926.08,4.78536
650.1688800000002,2924.556,4.78536
654.9390000000001,2919.984,4.78536
659.7243599999999,2901.0864,4.78536
664.4944800000002,2871.2160000000003,4.78536
669.2646000000001,2834.9448,4.78536
674.0347199999999,2796.2352,4.75488
678.8048400000001,2766.06,4.75488
683.57496,2749.2960000000003,4.75488
688.3298400000001,2741.9808000000003,4.75488
693.09996,2733.1416,4.75488
697.8700800000001,2716.6824,4.75488
702.62496,2692.6032,4.75488
707.3798400000001,2666.6952,4.75488
712.1347199999999,2653.284,4.75488
716.8896000000001,2663.0376,4.75488
721.6444800000002,2687.7264,4.75488
726.39936,2719.7304,4.75488
731.139,2762.0976,4.75488
735.8786400000001,2809.3416,4.75488
740.63352,2847.7464,4.75488
745.37316,2864.5104,4.7244
750.0975599999999,2860.2432000000003,4.7244
754.82196,2848.0512000000003,4.7244
759.5463599999999,2823.972,4.7244
764.27076,2796.2352,4.7244
768.9951599999999,2774.2896,4.7244
773.7043199999999,2759.964,4.69392
778.41348,2747.772,4.69392
783.12264,2744.724,4.69392
787.81656,2760.2688000000003,4.69392
792.5104800000001,2778.8616,4.69392
797.2044000000001,2798.0640000000003,4.69392
801.8983199999999,2822.7528,4.69392
806.5922400000001,2862.3768,4.69392
811.27092,2906.268,4.6634400000000005
815.93436,2941.6248,4.6634400000000005
820.5978,2977.5912000000003,4.6634400000000005
825.26124,3026.664,4.6634400000000005
829.92468,3082.4424000000004,4.6634400000000005
834.57288,3133.0392,4.63296
839.2058400000001,3180.8928,4.63296
843.8388,3218.3832,4.63296
848.47176,3211.3728,4.63296
